PLU NO.,ITEM CODE,ENGLISH DESC,KOR DESC, ORIGIN , CATE(ENG) ,CATE(KOR),CATE(NO),LOCAL PLU,ORGANIC
2823,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12823,92823
2824,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12824,92824
2825,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12825,92825
2826,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12826,92826
2827,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12827,92827
2828,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12828,92828
2829,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12829,92829
2830,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12830,92830
2831,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12831,92831
2832,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12832,92832
2833,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12833,92833
2834,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12834,92834
2835,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12835,92835
2836,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12836,92836
2837,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12837,92837
2838,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12838,92838
2839,,RESERVE(TROPICAL),RESERVE(TROPICAL),, TROPICAL ,열대과일,4-20-52,12839,92839
2840,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2841,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2842,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2843,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2844,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2845,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2846,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2847,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2848,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2849,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2850,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2851,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2852,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2853,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2854,,ETC,ETC,, ETC ,기타,4-20-53,X,X
2855,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2856,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2857,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2858,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2859,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2860,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2861,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2862,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2863,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2864,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2865,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2866,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2867,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2868,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2869,,ETC,ETC,, ETC ,기타,4-20-54,X,X
2870,,POMEGRANATE,석류,, ETC FRUIT ,기타과일,4-20-55,X,X
2871,,QUINCE,모과,, ETC FRUIT ,기타과일,4-20-55,X,X
2872,,CALAMANSI,깔라만시,, ETC FRUIT ,기타과일,4-20-55,X,X
2873,,KUMQUAT,금귤,, ETC FRUIT ,기타과일,4-20-55,X,X
2874,,TANGELO,텐젤로,, ETC FRUIT ,기타과일,4-20-55,X,X
2875,,UGLI JAMAICA FRUIT,우글리,, ETC FRUIT ,기타과일,4-20-55,X,X
2876,,BUDDHA'S HAND,불수감,, ETC FRUIT ,기타과일,4-20-55,X,X
2877,,ETROG CITRON,에트로그시트론,, ETC FRUIT ,기타과일,4-20-55,X,X
2878,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2879,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2880,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2881,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2882,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2883,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2884,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2885,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2886,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2887,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2888,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2889,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2890,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2891,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2892,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2893,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2894,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2895,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2896,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2897,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2898,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2899,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2900,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2901,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2902,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2903,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2904,,RESERVE(ETC FRUIT),RESERVE(ETC FRUIT),, ETC FRUIT ,기타과일,4-20-55,X,X
2905,,PEANUT,땅콩,, DRIED NUT ,견과,4-20-56,X,X
2906,,WALNUT,호두,, DRIED NUT ,견과,4-20-56,X,X
2907,,CHESTNUT,햇밤,, DRIED NUT ,견과,4-20-56,X,X
2908,,PINE NUT,잣,, DRIED NUT ,견과,4-20-56,X,X
2909,,WATERCHESTNUT,물밤,, DRIED NUT ,견과,4-20-56,X,X
2910,,ROASTED PEANUT,구운땅콩,, DRIED NUT ,견과,4-20-56,X,X
2911,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2912,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2913,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2914,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2915,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2916,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2917,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2918,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2919,,RESERVE(DRIED NUT),RESERVE(DRIED NUT),, DRIED NUT ,견과,4-20-56,X,X
2920,,DRIED FRUIT)APPLE,말린 사과,, DRIED FRUIT ,건과,4-20-57,X,X
2921,,DRIED)STRAWBERRY,말린 딸기,, DRIED FRUIT ,건과,4-20-57,X,X
2922,,DRIED)KIWI,말린 키위,, DRIED FRUIT ,건과,4-20-57,X,X
2923,,DRIED)MANGO,말린 망고,, DRIED FRUIT ,건과,4-20-57,X,X
2924,,DRIED)BANANA,말린 바나나,, DRIED FRUIT ,건과,4-20-57,X,X
2925,,DRIED)PINEAPPLE,말린 파인애플,, DRIED FRUIT ,건과,4-20-57,X,X
2926,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2927,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2928,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2929,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2930,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2931,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2932,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2933,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2934,,RESERVE(DRIED FRUIT),RESERVE(DRIED FRUIT),, DRIED FRUIT ,건과,4-20-57,X,X
2935,,FRUIT PACK)WATERMELON,과일팩)수박,, FRUIT PACK ,과일팩,4-20-58,X,X
2936,,FRUIT PACK)MANGO,과일팩)망고,, FRUIT PACK ,과일팩,4-20-58,X,X
2937,,FRUIT PACK)PAPAYA,과일팩)파파야,, FRUIT PACK ,과일팩,4-20-58,X,X
2938,,FRUIT PACK)PINEAPPLE,과일팩)파인애플,, FRUIT PACK ,과일팩,4-20-58,X,X
2939,,FRUIT PACK)CANTALOUPE,과일팩)캔탈롭멜론,, FRUIT PACK ,과일팩,4-20-58,X,X
2940,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2941,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2942,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2943,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2944,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2945,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2946,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2947,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2948,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2949,,RESERVE(FRUIT PACK),RESERVE(FRUIT PACK),, FRUIT PACK ,과일팩,4-20-58,X,X
2950,,SLICED FRUIT)WATERMELON,슬라이스과일)수박,, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2951,,SLICED FRUIT)MANGO,슬라이스과일)망고,, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2952,,SLICED FRUIT)PAPAYA,슬라이스과일)파파야,, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2953,,SLICED FRUIT)PINEAPPLE,슬라이스과일)파인애플,, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2954,,SLICED FRUIT)CANTALOUPE MELON,슬라이스과일)캔탈롭멜론,, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2955,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2956,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2957,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2958,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2959,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2960,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2961,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2962,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2963,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2964,,RESERVE(SLICED FRUIT),RESERVE(SLICED FRUIT),, SLICED FRUIT ,슬라이스과일,4-20-59,X,X
2965,,CUTTED FRUIT)WATERNEMLON,조각과일)수박,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2966,,CUTTED FRUIT)MANGO,조각과일)망고,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2967,,CUTTED FRUIT)PAPAYA,조각과일)파파야,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2968,,CUTTED FRUIT)PINEAPPLE,조각과일)파인애플,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2969,,CUTTED FRUIT)CANTALOUPE MELON,조각과일)캔탈롭멜론,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2970,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2971,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2972,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2973,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2974,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2975,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2976,,RESERVE(CUTTED FRUIT),RESERVE(CUTTED FRUIT),, CUTTED FRUIT ,조각과일,4-20-60,X,X
2977,,MIXED FRUITS #1,혼합과일 #1,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2978,,MIXED FRUITS #2,혼합과일 #2,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2979,,MIXED FRUITS #3,혼합과일 #3,, CUTTED FRUIT ,조각과일,4-20-60,X,X
2980,,BANANA FLOWER,바나나꽃,, ETC ,기타,4-20-61,X,X
2981,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2982,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2983,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2984,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2985,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2986,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2987,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2988,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2989,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2990,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2991,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2992,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2993,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2994,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2995,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2996,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2997,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2998,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
2999,,ETC #13,ETC #13,, ETC ,기타,4-20-61,X,X
